paintingLabel,artistLabel,locationLabel,year,image,longitude,latitude
Vision of the Blessed Amedeo Menez de Sylva,Pedro Fernández de Murcia,Palazzo Barberini,1513,http://commons.wikimedia.org/wiki/Special:FilePath/Pedro%20Fern%C3%A1ndez%20-%20Vision%20of%20the%20Blessed%20Amedeo%20Menez%20de%20Sylva%20-%20WGA07809.jpg,12.490120785737176,41.903495750000005
Allegory of Fortune,Andrea Previtali,Gallerie dell'Accademia,1490,http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20previtali%20e%20giovanni%20bellini%2C%20allegorie%2C%201490%20ca.%2002.JPG,12.3282997,45.431244
Q113636993,http://www.wikidata.org/.well-known/genid/2bd9dede00e276e2e030852e7ee223f6,Museum of Fine Arts of Córdoba,2000,http://commons.wikimedia.org/wiki/Special:FilePath/Virgen%20con%20el%20Ni%C3%B1o%20%28CE2458P%29%2C%20Museo%20de%20Bellas%20Artes%20de%20C%C3%B3rdoba.jpg,-117.073645,32.777508
Portrait of Nicolaus Copernicus,http://www.wikidata.org/.well-known/genid/a33623f497136c0103eba43c59a771ad,Old Town Hall in Toruń,1600,http://commons.wikimedia.org/wiki/Special:FilePath/Nikolaus%20Kopernikus.jpg,18.6048094,53.0102721
Pope Clement VII (1523-1534),Giuliano Bugiardini,Deutsches Historisches Museum,1532,http://commons.wikimedia.org/wiki/Special:FilePath/Giuliano%20Bugiardini%20-%20Ritratto%20di%20papa%20Clemente%20VII.jpg,13.3970225,52.5177477
Retaule renaixentista de Santa Agnès de Malanyanes,Jaume Forner,Museo Diocesano de Barcelona,1536,http://commons.wikimedia.org/wiki/Special:FilePath/JaumeForner%20staAgnes%20rebutja%20anell%20AgnesMalanyanes%203397.jpg,-0.408135,42.140805
Christ tied to the column with Saint Peter and the donors,Alejo Fernández,Museum of Fine Arts of Córdoba,1508,http://commons.wikimedia.org/wiki/Special:FilePath/Cristo%20atado%20a%20la%20columna%20con%20San%20Pedro%20y%20donantes%20-%20Alejo%20Fern%C3%A1ndez.jpg,-117.073645,32.777508
"Portrait of Pope Gregory XIII, bust-length",Scipione Pulzone,Rome,1585,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20Pope%20Gregory%20XIII%2C%20bust-length%20%28by%20Scipione%20Pulzone%29.jpg,12.4829321,41.8933203
Perseus Armed by Mercury and Minerva,Paris Bordone,Birmingham Museum of Art,1550,http://commons.wikimedia.org/wiki/Special:FilePath/Perseus%20Armed%20by%20Mercury%20and%20Minerva%20by%20Paris%20Bordone%20-%20BMA.jpg,-86.80995994962024,33.522194150000004
Adoration of the Shepherds with the Saints Nazario and Celso,Moretto da Brescia,Church of Saints Nazarius and Celsus,1540,http://commons.wikimedia.org/wiki/Special:FilePath/Adorazione%20dei%20pastori%20con%20i%20santi%20Nazaro%20e%20Celso.jpg,,
